date,date_str,program,ata,variant,model_detail,event,status,note,event_summary,source,model_key,from_file
2025-02-14,"Feb 14, 2025",A350,36,NONE,,,Scheduled,ATA36 (QAR): Tech review between GE and Juan Leon scheduled for Wednesday 19th.,Scheduled,program-section,A350:36:NONE,aircraft_model_events.json
2025-02-14,"Feb 14, 2025",A350,36,NONE,,,KO,Risk: ATA36 might be KO without extended QAR flight data.,KO,program-section,A350:36:NONE,aircraft_model_events.json
2025-03-13,"Mar 13, 2025",A320,21,NONE,,,,ATA21: Python update is needed first for immediate deployment.,,program-section,A320:21:NONE,aircraft_model_events.json
2025-03-13,"Mar 13, 2025",A320,32,NONE,,,,ATA32: Only Python update is needed. It is important to provide the Python updates for the models currently in Production for CS Group to be able to remove the temporary fix and resume normal deployment processes.,,program-section,A320:32:NONE,aircraft_model_events.json
2025-03-13,"Mar 13, 2025",A350,27,NONE,Fcfs,QG0,Scheduled,"Eric is focusing on A320 during MArch, A330 April and then back to A350 in June. QG0 for ATA27-FCFS can be held middle April, QG1 middle June in parallel. QG1 for ATA27-FCROLL can be scheduled end of May.",QG0 | Scheduled,program-section,A350:27:NONE,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A320,21,NONE,,,,ATA21: Python 3.10 and Threshold Customization/2023 Cust. feedback updates merged into a single model.,,program-section,A320:21:NONE,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A320,27,NONE,,,,ATA27: Next Steps for deployment planning on diagnostic models:,,program-section,A320:27:NONE,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A320,36,CEO,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A320:36:CEO,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A320,36,NEO,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A320:36:NEO,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A330,32,NONE,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A330:32:NONE,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A330,36,NEO,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A330:36:NEO,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A330,36,CEO,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A330:36:CEO,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A330,36,CEO,,,Issue,Model updates to Python 3.10 completed except for A330 ATA36 CEO FOMAX due to empty alerts - issue under investigation by DAIA - ref AI #96 in Action Tracker.,Issue,compound-line,A330:36:CEO,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A330,36,CEO,,,Issue,Model updates to Python 3.10 completed except for A330 ATA36 CEO FOMAX due to empty alerts - issue under investigation by DAIA - ref AI #96 in Action Tracker.,Issue,program-section,A330:36:CEO,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A350,24,NONE,,,,ATA24: patricia.bennetts@geaerospace.com Please propose a schedule for developing ATA24 models by the next follow-up meeting.,,program-section,A350:24:NONE,aircraft_model_events.json
2025-03-27,"Mar 27, 2025",A350,29,NONE,,QG0,,ATA29: patricia.bennetts@geaerospace.com We need to identify a QG0 date now that the material has been provided. Please propose a QG0 date for ATA29.,QG0,program-section,A350:29:NONE,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A320,21,NONE,,,,ATA 21: Juan to set a meeting with the CS team to go over the RCA,,program-section,A320:21:NONE,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A320,27,NONE,,QG1,,ATA 27: - QG1 for next week (target Thursday for QG1),QG1,program-section,A320:27:NONE,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A320,32,NONE,,,Issue,"ATA 32: Brake dragging issue, front end issue, work-around on MOCA",Issue,program-section,A320:32:NONE,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A320,36,CEO,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A320:36:CEO,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A320,36,NEO,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A320:36:NEO,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A320,36,CEO,,MPVAL,MPVAL Pushed,ATA 36 CEO: Successfully pushed to MPVAL,MPVAL | MPVAL Pushed,program-section,A320:36:CEO,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A320,36,NEO,,MPVAL,MPVAL Pushed,ATA 36 NEO: Successfully pushed to MPVAL,MPVAL | MPVAL Pushed,program-section,A320:36:NEO,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A320,36,NONE,,MPVAL,In Mpval,"ATA 36: Are in MPVAL, Juan checks to see if they are good.",MPVAL | In MPVAL,program-section,A320:36:NONE,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A330,32,NONE,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A330:32:NONE,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A330,32,NONE,,MPVAL,MPVAL Pushed,ATA 32: Successfully pushed to MPVAL,MPVAL | MPVAL Pushed,program-section,A330:32:NONE,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A330,36,NEO,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A330:36:NEO,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A330,36,CEO,,MPVAL,MPVAL Pushed,"3 models were successfully pushed to MPVAL A320 ATA36 CEO, A330 ATA32, A330 ATA36 NEO. DAIA has requested support to CS to identify the reason why A320 ATA36 NEO DAR and A330 ATA36 CEO FOMAX are showing empty alerts.",MPVAL | MPVAL Pushed,compound-line,A330:36:CEO,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A330,36,CEO,,MPVAL,MPVAL Pushed,ATA 36 CEO: Successfully pushed to MPVAL,MPVAL | MPVAL Pushed,program-section,A330:36:CEO,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A330,36,NEO,,MPVAL,MPVAL Pushed,ATA 36 NEO: Successfully pushed to MPVAL,MPVAL | MPVAL Pushed,program-section,A330:36:NEO,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A350,21,NONE,,,,"ATA 21: ACMS reports needed 01, 03, 04, Landing if possible",,program-section,A350:21:NONE,aircraft_model_events.json
2025-04-03,"Apr 3, 2025",A350,32,NONE,,,,ATA 32,,program-section,A350:32:NONE,aircraft_model_events.json
